"","Var1","Freq"
"1","Bisnis",8
"2","Bola",6
"3","Celebs",117
"4","Health",20
"5","Life",41
"6","News",446
"7","Oto",9
"8","Sports",19
"9","Style",11
"10","Tekno",6
"11","Travel",32
"12","Unik",77
