"","Var1","Freq"
"1","Bisnis",2
"2","Celebs",73
"3","Health",7
"4","Life",12
"5","News",74
"6","None",568
"7","Oto",2
"8","Sports",5
"9","Style",2
"10","Tekno",3
"11","Travel",22
"12","Unik",22
