"","User","Bisnis","Bola","Celebs","Health","Life","News","Oto","Sports","Style","Tekno","Travel","Unik","Interest","Interest_2"
"1",38309,0.948174690733153,0.228647941152381,4.0849196257061,1.57429377512739,4.56411834542532,3.87892257467647,0.419407206355685,1.76136113530118,0.00154226551806087,0.00154226551806087,3.53050766693828,3.16698508200593,"Life","None"
"2",64842,1.28195252284484,0.27032651083808,3.27799055046549,1.86292607464371,3.00148825230685,4.20451448764756,0.00154226551806087,0.00154226551806087,0.00154226551806087,1.7969529776114,2.50750421349287,1.87472565505021,"News","None"
"3",77034,1.56497003399177,0.657933059729449,3.73549460976607,1.51675408575144,3.42038314924261,3.80689009343726,0.00154226551806087,0.849259891816029,1.38594443220611,1.46305037566722,3.74138486775486,3.35613959177167,"News","Travel"
"4",91018,1.17462401598069,0.142258723362071,3.77523976076927,1.95052060683785,2.51443819798114,4.04305577083106,0.00154226551806087,1.09193983973662,0.00154226551806087,1.88144289347462,2.62543183457404,2.74740874005577,"News","Celebs"
"5",129046,1.03126979174171,0.145649481382409,4.30533472655894,0.00154226551806087,1.93162799677736,4.02547221140366,0.00154226551806087,1.11821448007924,1.82517242886617,0.643275411607649,3.13651072653875,2.01013650248627,"Celebs","News"
"6",131008,1.28538709971535,0.155545255862364,3.56837105297263,1.06804328920164,3.43924861089406,4.05606493447477,0.00154226551806087,1.19489583386885,0.00154226551806087,2.0589442403203,2.3945745978116,3.00667510245847,"News","None"
"7",150961,1.16278390514527,0.00154226551806087,3.92393164577238,2.70257203202103,2.61345176053743,4.0155998366917,0.00154226551806087,0.00154226551806087,0.00154226551806087,0.86997462082408,3.03184951238977,3.26332464598599,"News","Celebs"
"8",152347,1.56497003399177,0.147406886453925,3.64659098252207,1.01168347900698,3.90878898977468,4.00472163189177,0.00154226551806087,1.13183243391535,0.00154226551806087,0.651101425584352,2.72142779441755,3.25448512733974,"News","Life"
"9",152770,0.933913734716926,0.132024799155234,4.53465739721032,1.80877672746914,2.91421709632754,3.72830759784153,0.481707070262386,1.01263819797527,0.00154226551806087,1.74472284780505,3.24562391453272,4.36640014192606,"Celebs","Unik"
"10",158023,1.13035678011417,1.22019989099732,3.71536548661649,1.87697425433522,4.23316418952429,3.65288449846279,1.99467919087186,1.05079276146422,3.42859064796093,1.81050324713664,2.94722961191109,3.3987193863073,"Life","None"
"11",175879,1.37512523353425,0.770457195879973,3.5164106712005,1.77650468350573,2.86220504577737,3.96848022400683,0.00154226551806087,1.98762356141616,0.00154226551806087,1.14291050392026,2.78942493264003,2.85948492268996,"News","None"
